students,education level,gender,2013 Enrollments,2014 Enrollments,2015 Enrollments
d-156486,Graduate,female,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-185153,Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-190965,Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-195037,Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-120784,High School,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-147457,High School,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-168224,High School,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-106290,Ph.D.,female,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-133525,Ph.D.,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-156852,Ph.D.,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-172381,Unknown,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-182546,Graduate,male,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100003,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100020,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100057,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100067,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100100,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100154,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100368,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100390,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100472,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100478,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100536,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100591,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100782,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100801,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-100825,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-101218,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-101269,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-101312,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-101369,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-101375,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-101412,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-101770,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-101823,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-101886,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-101934,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-101984,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102281,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102334,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102475,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102503,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102583,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102591,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102655,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102734,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102766,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102791,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102808,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102829,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102834,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-102991,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103014,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103099,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103106,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103369,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103434,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103475,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103486,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103503,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103523,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103559,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103596,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103693,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103798,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103881,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103924,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-103927,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-104014,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-104054,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-104175,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-104203,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-104250,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-104510,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-104539,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-104625,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105108,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105129,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105180,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105297,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105414,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105591,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
