ticker,rank,quarter,nominal,real,relative
NTAP,0,07/01/87,0,0,0.0
NOW,0,07/01/87,0,0,0.0
NFLX,0,07/01/87,0,0,0.0
NCR,0,07/01/87,0,0,0.0
N,0,07/01/87,0,0,0.0
MXIM,0,07/01/87,0,0,0.0
MRVL,0,07/01/87,0,0,0.0
MCHP,0,07/01/87,0,0,0.0
MBLY,0,07/01/87,0,0,0.0
MANH,0,07/01/87,0,0,0.0
LNKD,0,07/01/87,0,0,0.0
JNPR,0,07/01/87,0,0,0.0
IT,0,07/01/87,0,0,0.0
INTU,0,07/01/87,0,0,0.0
IMS,0,07/01/87,0,0,0.0
IM,0,07/01/87,0,0,0.0
IACI,0,07/01/87,0,0,0.0
GRMN,0,07/01/87,0,0,0.0
GOOGL,0,07/01/87,0,0,0.0
GDDY,0,07/01/87,0,0,0.0
FTNT,0,07/01/87,0,0,0.0
FSL,0,07/01/87,0,0,0.0
FFIV,0,07/01/87,0,0,0.0
FEYE,0,07/01/87,0,0,0.0
FB,0,07/01/87,0,0,0.0
EPAM,0,07/01/87,0,0,0.0
EBAY,0,07/01/87,0,0,0.0
DST,0,07/01/87,0,0,0.0
DOX,0,07/01/87,0,0,0.0
DATA,0,07/01/87,0,0,0.0
CTXS,0,07/01/87,0,0,0.0
CTSH,0,07/01/87,0,0,0.0
CSCO,0,07/01/87,0,0,0.0
CRM,0,07/01/87,0,0,0.0
COMM,0,07/01/87,0,0,0.0
CHKP,0,07/01/87,0,0,0.0
CDW,0,07/01/87,0,0,0.0
CDKVV,0,07/01/87,0,0,0.0
BRCM,0,07/01/87,0,0,0.0
BRCD,0,07/01/87,0,0,0.0
AVGO,0,07/01/87,0,0,0.0
ATHN,0,07/01/87,0,0,0.0
ARRS,0,07/01/87,0,0,0.0
ANSS,0,07/01/87,0,0,0.0
ANET,0,07/01/87,0,0,0.0
AMZN,0,07/01/87,0,0,0.0
ALTR,0,07/01/87,0,0,0.0
AKAM,0,07/01/87,0,0,0.0
894898,0,07/01/87,0,0,0.0
IBM,1,10/01/87,74119.0,152961.0,0.596896290689
HPQ,2,10/01/87,13914.0,28715.0,0.11205244254
MSI,3,10/01/87,6364.0,13134.0,0.0512506643903
AAPL,4,10/01/87,5036.0,10393.0,0.0405559940084
INTC,5,10/01/87,4423.0,9129.0,0.0356193728156
TXN,6,10/01/87,3995.0,8245.0,0.0321725965178
PBI,7,10/01/87,2872.0,5927.0,0.023128835344
MSFT,8,10/01/87,2767.0,5709.0,0.0222832477008
GLW,9,10/01/87,2379.0,4910.0,0.019158600029
CA,10,10/01/87,2147.0,4431.0,0.0172902539984
HRS,11,10/01/87,1160.0,2394.0,0.00934173015285
CSC,12,10/01/87,803.0,1658.0,0.00646673216615
ORCL,13,10/01/87,746.0,1539.0,0.00600769887416
ADI,14,10/01/87,536.0,1107.0,0.00431652358787
ADSK,15,10/01/87,495.0,1022.0,0.00398634174626
WDC,16,10/01/87,422.0,871.0,0.00339845700388
EMC,17,10/01/87,361.0,744.0,0.00290721084929
ADBE,18,10/01/87,282.0,581.0,0.00227100681302
MU,19,10/01/87,276.0,570.0,0.00222268751913
AMAT,20,10/01/87,271.0,560.0,0.00218242144088
KLAC,21,10/01/87,242.0,500.0,0.00194887818706
TYL,22,10/01/87,200.0,412.0,0.0016106431298
LLTC,23,10/01/87,166.0,343.0,0.00133683379774
CDNS,24,10/01/87,61.0,126.0,0.00049124615459
CERN,25,10/01/87,51.0,106.0,0.000410713998099
LRCX,26,10/01/87,50.0,103.0,0.00040266078245
SWKS,27,10/01/87,36.0,75.0,0.000289915763364
YHOO,0,10/01/87,0,0,0.0
XLNX,0,10/01/87,0,0,0.0
WDAY,0,10/01/87,0,0,0.0
VRSN,0,10/01/87,0,0,0.0
VMW,0,10/01/87,0,0,0.0
ULTI,0,10/01/87,0,0,0.0
TWTR,0,10/01/87,0,0,0.0
TDC,0,10/01/87,0,0,0.0
SYMC,0,10/01/87,0,0,0.0
STX,0,10/01/87,0,0,0.0
SSNC,0,10/01/87,0,0,0.0
SPLK,0,10/01/87,0,0,0.0
SNPS,0,10/01/87,0,0,0.0
SNDK,0,10/01/87,0,0,0.0
RHT,0,10/01/87,0,0,0.0
QRVO,0,10/01/87,0,0,0.0
QCOM,0,10/01/87,0,0,0.0
PYPL,0,10/01/87,0,0,0.0
PTC,0,10/01/87,0,0,0.0
PANW,0,10/01/87,0,0,0.0
ON,0,10/01/87,0,0,0.0
NXPI,0,10/01/87,0,0,0.0
NVDA,0,10/01/87,0,0,0.0
NUAN,0,10/01/87,0,0,0.0
NTAP,0,10/01/87,0,0,0.0
NOW,0,10/01/87,0,0,0.0
NFLX,0,10/01/87,0,0,0.0
NCR,0,10/01/87,0,0,0.0
N,0,10/01/87,0,0,0.0
MXIM,0,10/01/87,0,0,0.0
MRVL,0,10/01/87,0,0,0.0
MCHP,0,10/01/87,0,0,0.0
MBLY,0,10/01/87,0,0,0.0
MANH,0,10/01/87,0,0,0.0
LNKD,0,10/01/87,0,0,0.0
JNPR,0,10/01/87,0,0,0.0
IT,0,10/01/87,0,0,0.0
INTU,0,10/01/87,0,0,0.0
IMS,0,10/01/87,0,0,0.0
IM,0,10/01/87,0,0,0.0
IACI,0,10/01/87,0,0,0.0
GRMN,0,10/01/87,0,0,0.0
GOOGL,0,10/01/87,0,0,0.0
GDDY,0,10/01/87,0,0,0.0
FTNT,0,10/01/87,0,0,0.0
FSL,0,10/01/87,0,0,0.0
FFIV,0,10/01/87,0,0,0.0
FEYE,0,10/01/87,0,0,0.0
FB,0,10/01/87,0,0,0.0
EPAM,0,10/01/87,0,0,0.0
EBAY,0,10/01/87,0,0,0.0
DST,0,10/01/87,0,0,0.0
DOX,0,10/01/87,0,0,0.0
DATA,0,10/01/87,0,0,0.0
CTXS,0,10/01/87,0,0,0.0
CTSH,0,10/01/87,0,0,0.0
CSCO,0,10/01/87,0,0,0.0
CRM,0,10/01/87,0,0,0.0
COMM,0,10/01/87,0,0,0.0
CHKP,0,10/01/87,0,0,0.0
CDW,0,10/01/87,0,0,0.0
CDKVV,0,10/01/87,0,0,0.0
BRCM,0,10/01/87,0,0,0.0
BRCD,0,10/01/87,0,0,0.0
AVGO,0,10/01/87,0,0,0.0
ATHN,0,10/01/87,0,0,0.0
ARRS,0,10/01/87,0,0,0.0
ANSS,0,10/01/87,0,0,0.0
ANET,0,10/01/87,0,0,0.0
AMZN,0,10/01/87,0,0,0.0
ALTR,0,10/01/87,0,0,0.0
AKAM,0,10/01/87,0,0,0.0
894898,0,10/01/87,0,0,0.0
IBM,1,01/01/88,68703.0,140687.0,0.5680515937
HPQ,2,01/01/88,15140.0,31004.0,0.125180867336
MSI,3,01/01/88,5885.0,12051.0,0.0486584811278
AAPL,4,01/01/88,5332.0,10919.0,0.0440861548638
INTC,5,01/01/88,4534.0,9285.0,0.0374881144322
TXN,6,01/01/88,3918.0,8022.0,0.0323948902394
PBI,7,01/01/88,3110.0,6368.0,0.0257141675968
MSFT,8,01/01/88,3036.0,6217.0,0.025102319236
GLW,9,01/01/88,2431.0,4979.0,0.0201000454752
CA,10,01/01/88,2276.0,4660.0,0.0188184712059
HRS,11,01/01/88,1153.0,2361.0,0.00953325891934
ORCL,12,01/01/88,850.0,1740.0,0.0070279879284
CSC,13,01/01/88,757.0,1549.0,0.00625904336682
ADI,14,01/01/88,547.0,1120.0,0.00452271693745
ADSK,15,01/01/88,502.0,1029.0,0.0041506469883
MU,16,01/01/88,431.0,882.0,0.00356360329075
WDC,17,01/01/88,379.0,777.0,0.00313365579396
EMC,18,01/01/88,349.0,715.0,0.00288560916119
AMAT,19,01/01/88,344.0,705.0,0.00284426805573
ADBE,20,01/01/88,293.0,600.0,0.00242258878002
KLAC,21,01/01/88,287.0,589.0,0.00237297945347
TYL,22,01/01/88,210.0,430.0,0.00173632642937
LLTC,23,01/01/88,168.0,344.0,0.00138906114349
ALTR,24,01/01/88,99.0,203.0,0.000818553888131
CDNS,25,01/01/88,67.0,138.0,0.00055397081318
CERN,26,01/01/88,54.0,111.0,0.000446483938981
LRCX,27,01/01/88,49.0,101.0,0.000405142833519
SWKS,28,01/01/88,28.0,57.0,0.000231510190582
MXIM,29,01/01/88,13.0,27.0,0.000107486874199
YHOO,0,01/01/88,0,0,0.0
XLNX,0,01/01/88,0,0,0.0
WDAY,0,01/01/88,0,0,0.0
VRSN,0,01/01/88,0,0,0.0
VMW,0,01/01/88,0,0,0.0
ULTI,0,01/01/88,0,0,0.0
TWTR,0,01/01/88,0,0,0.0
TDC,0,01/01/88,0,0,0.0
SYMC,0,01/01/88,0,0,0.0
STX,0,01/01/88,0,0,0.0
SSNC,0,01/01/88,0,0,0.0
SPLK,0,01/01/88,0,0,0.0
SNPS,0,01/01/88,0,0,0.0
SNDK,0,01/01/88,0,0,0.0
RHT,0,01/01/88,0,0,0.0
QRVO,0,01/01/88,0,0,0.0
QCOM,0,01/01/88,0,0,0.0
PYPL,0,01/01/88,0,0,0.0
PTC,0,01/01/88,0,0,0.0
PANW,0,01/01/88,0,0,0.0
ON,0,01/01/88,0,0,0.0
NXPI,0,01/01/88,0,0,0.0
NVDA,0,01/01/88,0,0,0.0
NUAN,0,01/01/88,0,0,0.0
NTAP,0,01/01/88,0,0,0.0
NOW,0,01/01/88,0,0,0.0
NFLX,0,01/01/88,0,0,0.0
NCR,0,01/01/88,0,0,0.0
N,0,01/01/88,0,0,0.0
MRVL,0,01/01/88,0,0,0.0
MCHP,0,01/01/88,0,0,0.0
MBLY,0,01/01/88,0,0,0.0
MANH,0,01/01/88,0,0,0.0
LNKD,0,01/01/88,0,0,0.0
